Date,category,Member_number
13/03/2025,Produce,M0016
20/03/2025,Canned Goods,M0030
14/03/2025,Bakery,M0036
15/03/2025,Snacks,M0034
01/03/2025,Beverages,M0004
17/03/2025,Dairy,M0020
02/03/2025,Frozen,M0002
05/03/2025,Snacks,M0003
19/03/2025,Canned Goods,M0016
07/03/2025,Frozen,M0015
01/03/2025,Bakery,M0017
10/03/2025,Beverages,M0038
20/03/2025,Produce,M0001
19/03/2025,Household,M0015
15/03/2025,Meat,M0006
13/03/2025,Personal Care,M0032
18/03/2025,Snacks,M0049
02/03/2025,Personal Care,M0045
17/03/2025,Household,M0024
03/03/2025,Canned Goods,M0009
03/03/2025,Canned Goods,M0034
14/03/2025,Beverages,M0040
16/03/2025,Beverages,M0011
11/03/2025,Produce,M0002
16/03/2025,Bakery,M0034
11/03/2025,Produce,M0047
11/03/2025,Snacks,M0021
12/03/2025,Bakery,M0046
10/03/2025,Household,M0022
15/03/2025,Beverages,M0029
01/03/2025,Personal Care,M0044
17/03/2025,Frozen,M0035
09/03/2025,Frozen,M0006
09/03/2025,Produce,M0043
20/03/2025,Bakery,M0030
04/03/2025,Meat,M0032
15/03/2025,Snacks,M0019
07/03/2025,Dairy,M0011
11/03/2025,Snacks,M0009
18/03/2025,Beverages,M0015
08/03/2025,Bakery,M0035
18/03/2025,Canned Goods,M0027
08/03/2025,Meat,M0002
11/03/2025,Meat,M0006
05/03/2025,Frozen,M0024
06/03/2025,Snacks,M0047
13/03/2025,Bakery,M0013
11/03/2025,Canned Goods,M0016
10/03/2025,Snacks,M0038
11/03/2025,Canned Goods,M0048
11/03/2025,Bakery,M0031
12/03/2025,Canned Goods,M0024
03/03/2025,Produce,M0037
06/03/2025,Snacks,M0010
13/03/2025,Snacks,M0013
04/03/2025,Canned Goods,M0013
17/03/2025,Produce,M0013
17/03/2025,Meat,M0030
18/03/2025,Produce,M0041
16/03/2025,Snacks,M0033
01/03/2025,Household,M0006
07/03/2025,Snacks,M0032
03/03/2025,Beverages,M0005
12/03/2025,Dairy,M0034
07/03/2025,Produce,M0007
13/03/2025,Frozen,M0009
17/03/2025,Frozen,M0023
20/03/2025,Beverages,M0038
10/03/2025,Frozen,M0046
10/03/2025,Meat,M0039
04/03/2025,Produce,M0013
15/03/2025,Bakery,M0041
17/03/2025,Snacks,M0045
14/03/2025,Personal Care,M0046
05/03/2025,Canned Goods,M0041
20/03/2025,Produce,M0049
06/03/2025,Personal Care,M0046
10/03/2025,Bakery,M0003
17/03/2025,Personal Care,M0016
19/03/2025,Produce,M0041
01/03/2025,Bakery,M0002
19/03/2025,Produce,M0038
18/03/2025,Dairy,M0021
05/03/2025,Produce,M0036
09/03/2025,Beverages,M0037
13/03/2025,Meat,M0043
20/03/2025,Dairy,M0049
02/03/2025,Canned Goods,M0007
17/03/2025,Meat,M0012
15/03/2025,Personal Care,M0009
05/03/2025,Produce,M0023
10/03/2025,Produce,M0031
13/03/2025,Household,M0037
10/03/2025,Produce,M0005
06/03/2025,Snacks,M0046
18/03/2025,Dairy,M0029
04/03/2025,Bakery,M0027
06/03/2025,Frozen,M0043
20/03/2025,Produce,M0041
01/03/2025,Produce,M0010
