Member_number,Date,itemDescription,category
1808,21-07-2015,tropical fruit,Fruits
2552,05-01-2015,whole milk,Dairy
2300,19-09-2015,pip fruit,Fruits
1187,12-12-2015,other vegetables,Vegetables
3037,01-02-2015,whole milk,Dairy
4941,14-02-2015,rolls/buns,Bakery
4501,08-05-2015,other vegetables,Vegetables
3803,23-12-2015,pot plants,Vegetables
2762,20-03-2015,whole milk,Dairy
4119,12-02-2015,tropical fruit,Fruits
1340,24-02-2015,citrus fruit,Fruits
2193,14-04-2015,beef,Meat
1997,21-07-2015,frankfurter,Meat
4546,03-09-2015,chicken,Meat
4736,21-07-2015,butter,Dairy
1959,30-03-2015,fruit/vegetable juice,Fruits
1974,03-05-2015,packaged fruit/vegetables,Vegetables
2421,02-09-2015,chocolate,Dairy
1513,03-08-2015,specialty bar,Bakery
1905,07-07-2015,other vegetables,Vegetables
2810,08-09-2015,butter milk,Dairy
2867,12-11-2015,whole milk,Dairy
3962,18-09-2015,tropical fruit,Fruits
1088,30-11-2015,tropical fruit,Fruits
4976,17-07-2015,bottled water,Beverages
4056,12-06-2015,yogurt,Dairy
3611,13-02-2015,sausage,Meat
1420,14-01-2015,other vegetables,Vegetables
4286,08-03-2015,brown bread,Bakery
4918,27-01-2015,yogurt,Dairy
4783,22-10-2015,hamburger meat,Meat
3709,26-10-2015,root vegetables,Vegetables
4289,08-10-2015,pork,Meat
1559,03-10-2015,beef,Meat
2900,11-04-2015,pastry,Bakery
1905,21-02-2015,fruit/vegetable juice,Fruits
3527,29-09-2015,canned beer,Canned Goods
1495,09-01-2015,root vegetables,Vegetables
3558,03-04-2015,citrus fruit,Fruits
3128,20-04-2015,sausage,Meat
1863,04-08-2015,tropical fruit,Fruits
3841,19-07-2015,berries,Fruits
3903,06-10-2015,canned beer,Canned Goods
2658,16-10-2015,butter milk,Dairy
4272,06-06-2015,coffee,Beverages
1120,26-09-2015,pastry,Bakery
2676,15-08-2015,rolls/buns,Bakery
1697,21-05-2015,misc. beverages,Beverages
2507,25-08-2015,root vegetables,Vegetables
4620,11-03-2015,sausage,Meat
3365,01-02-2015,canned beer,Canned Goods
2978,05-06-2015,ham,Meat
2910,28-07-2015,turkey,Meat
1061,05-09-2015,whole milk,Dairy
3276,03-04-2015,whole milk,Dairy
1326,19-06-2015,packaged fruit/vegetables,Vegetables
3023,28-07-2015,rolls/buns,Bakery
2185,11-10-2015,ham,Meat
3552,16-06-2015,rolls/buns,Bakery
1967,20-01-2015,other vegetables,Vegetables
4708,20-03-2015,sausage,Meat
2874,15-02-2015,sausage,Meat
4177,13-04-2015,frankfurter,Meat
1663,07-02-2015,rolls/buns,Bakery
2632,02-03-2015,whole milk,Dairy
1377,14-03-2015,curd cheese,Dairy
4162,22-12-2015,red/blush wine,Beverages
2270,01-07-2015,sausage,Meat
4829,03-11-2015,tropical fruit,Fruits
3811,14-04-2015,red/blush wine,Beverages
4766,29-09-2015,whole milk,Dairy
2436,12-04-2015,frankfurter,Meat
3860,05-05-2015,whole milk,Dairy
4875,12-05-2015,frozen potato products,Frozen
1587,01-07-2015,other vegetables,Vegetables
4038,08-07-2015,citrus fruit,Fruits
4750,21-09-2015,flour,Grains & Pasta
1199,10-12-2015,sugar,Snacks
1603,30-09-2015,frozen meals,Frozen
3111,31-01-2015,chocolate,Dairy
3894,13-12-2015,root vegetables,Vegetables
1456,18-09-2015,root vegetables,Vegetables
2022,04-03-2015,herbs,Vegetables
2505,30-11-2015,bottled water,Beverages
4851,20-12-2015,sausage,Meat
4293,04-08-2015,coffee,Beverages
2775,06-11-2015,pork,Meat
3693,18-02-2015,berries,Fruits
1202,22-07-2015,soda,Beverages
3699,23-08-2015,berries,Fruits
4152,15-04-2015,fruit/vegetable juice,Fruits
4155,26-01-2015,citrus fruit,Fruits
4010,29-12-2015,pork,Meat
4389,20-10-2015,detergent,Cleaning Supplies
3746,17-08-2015,grapes,Fruits
2560,17-05-2015,sausage,Meat
1503,25-07-2015,chicken,Meat
2555,23-12-2015,whole milk,Dairy
3645,12-12-2015,citrus fruit,Fruits
3886,11-09-2015,soda,Beverages
2932,20-03-2015,sausage,Meat
1711,18-06-2015,frankfurter,Meat
4291,08-12-2015,sausage,Meat
1143,25-04-2015,soda,Beverages
4564,08-07-2015,rolls/buns,Bakery
3337,14-05-2015,beef,Meat
4931,04-05-2015,whole milk,Dairy
2623,10-10-2015,processed cheese,Dairy
4581,03-04-2015,tropical fruit,Fruits
2635,11-06-2015,frankfurter,Meat
1095,30-10-2015,packaged fruit/vegetables,Vegetables
2990,23-05-2015,whole milk,Dairy
2426,05-06-2015,berries,Fruits
4555,07-11-2015,citrus fruit,Fruits
3635,04-09-2015,tropical fruit,Fruits
3058,18-05-2015,hamburger meat,Meat
4391,26-03-2015,hamburger meat,Meat
1306,23-06-2015,whole milk,Dairy
1024,10-08-2015,fish,Seafood
1295,23-07-2015,frankfurter,Meat
1661,01-06-2015,packaged fruit/vegetables,Vegetables
4591,15-05-2015,pastry,Bakery
3169,14-06-2015,other vegetables,Vegetables
3915,21-05-2015,misc. beverages,Beverages
1127,14-01-2015,frankfurter,Meat
4828,08-08-2015,sparkling wine,Beverages
3683,10-06-2015,specialty bar,Bakery
1971,18-09-2015,sausage,Meat
3014,11-11-2015,curd cheese,Dairy
3779,15-09-2015,frankfurter,Meat
2489,04-05-2015,whole milk,Dairy
3564,27-06-2015,newspapers,Bakery
4092,30-09-2015,berries,Fruits
3221,13-01-2015,curd,Meat
1279,06-09-2015,tropical fruit,Fruits
2581,22-08-2015,soda,Beverages
2295,25-02-2015,rolls/buns,Bakery
4760,22-02-2015,canned beer,Canned Goods
3649,16-01-2015,canned beer,Canned Goods
1075,19-11-2015,frankfurter,Meat
3987,19-08-2015,other vegetables,Vegetables
4106,25-08-2015,whole milk,Dairy
4338,24-06-2015,whole milk,Dairy
4166,06-11-2015,citrus fruit,Fruits
1211,10-03-2015,frankfurter,Meat
3954,21-01-2015,frankfurter,Meat
3928,18-07-2015,butter milk,Dairy
3827,30-09-2015,hamburger meat,Meat
4699,08-02-2015,pasta,Grains & Pasta
4747,08-06-2015,other vegetables,Vegetables
3028,09-06-2015,sausage,Meat
2851,16-03-2015,rolls/buns,Bakery
4417,25-02-2015,grapes,Fruits
3822,07-03-2015,root vegetables,Vegetables
2288,31-05-2015,coffee,Beverages
2184,30-06-2015,popcorn,Snacks
4554,27-08-2015,whole milk,Dairy
3361,05-03-2015,tropical fruit,Fruits
2999,17-04-2015,beef,Meat
2614,25-06-2015,whole milk,Dairy
4064,05-06-2015,frankfurter,Meat
3567,04-10-2015,tropical fruit,Fruits
2587,07-05-2015,canned beer,Canned Goods
3783,17-06-2015,finished products,Baby Products
1923,14-02-2015,beverages,Beverages
4835,19-02-2015,hamburger meat,Meat
1514,24-08-2015,whole milk,Dairy
3154,22-06-2015,finished products,Baby Products
1313,25-12-2015,other vegetables,Vegetables
2794,18-07-2015,ham,Meat
2359,09-04-2015,other vegetables,Vegetables
2238,09-03-2015,curd,Meat
3795,17-01-2015,bottled beer,Beverages
3724,26-11-2015,curd,Meat
1152,05-03-2015,whole milk,Dairy
4559,16-03-2015,whole milk,Dairy
3922,27-02-2015,dessert,Bakery
1709,22-04-2015,sausage,Meat
2219,17-04-2015,other vegetables,Vegetables
2206,17-10-2015,ham,Meat
1752,06-04-2015,other vegetables,Vegetables
3942,10-11-2015,other vegetables,Vegetables
3296,17-08-2015,soda,Beverages
2257,05-02-2015,herbs,Vegetables
4313,28-07-2015,frankfurter,Meat
2001,21-08-2015,rolls/buns,Bakery
2449,08-07-2015,curd,Meat
4914,12-04-2015,frankfurter,Meat
2764,24-07-2015,other vegetables,Vegetables
4187,09-05-2015,dog food,Pet Supplies
1392,20-04-2015,specialty bar,Bakery
3427,28-04-2015,curd,Meat
1411,20-02-2015,frankfurter,Meat
3390,14-11-2015,soda,Beverages
4787,01-08-2015,beef,Meat
3310,17-01-2015,canned beer,Canned Goods
1782,10-10-2015,pork,Meat
3375,26-04-2015,frankfurter,Meat
2760,07-01-2015,sausage,Meat
4249,13-09-2015,canned beer,Canned Goods
2904,06-06-2015,specialty chocolate,Dairy
4090,26-02-2015,curd,Meat
3060,05-07-2015,canned beer,Canned Goods
3768,07-10-2015,whole milk,Dairy
1232,21-01-2015,rolls/buns,Bakery
1360,23-10-2015,pork,Meat
1107,01-10-2015,citrus fruit,Fruits
2865,04-11-2015,pot plants,Vegetables
2958,14-06-2015,rolls/buns,Bakery
2448,12-07-2015,butter,Dairy
1222,24-09-2015,condensed milk,Dairy
2943,20-06-2015,sausage,Meat
2270,11-08-2015,whole milk,Dairy
3812,21-07-2015,sausage,Meat
1482,22-11-2015,beverages,Beverages
4720,22-02-2015,beverages,Beverages
1344,04-09-2015,bottled water,Beverages
2397,04-10-2015,newspapers,Bakery
4182,12-05-2015,cleaner,Cleaning Supplies
4487,10-07-2015,sausage,Meat
3467,24-12-2015,newspapers,Bakery
2443,15-11-2015,sausage,Meat
2749,27-01-2015,misc. beverages,Beverages
4389,13-04-2015,white wine,Beverages
1674,04-12-2015,sausage,Meat
4262,16-10-2015,meat,Meat
2082,07-04-2015,frankfurter,Meat
4494,06-01-2015,ice cream,Dairy
2460,28-09-2015,canned beer,Canned Goods
4509,29-11-2015,tropical fruit,Fruits
2267,03-07-2015,meat,Meat
4891,05-09-2015,whole milk,Dairy
3962,20-09-2015,sausage,Meat
4964,18-07-2015,frankfurter,Meat
2914,30-11-2015,meat,Meat
2808,05-05-2015,root vegetables,Vegetables
1085,15-08-2015,root vegetables,Vegetables
3808,18-08-2015,whole milk,Dairy
4149,07-01-2015,citrus fruit,Fruits
2331,05-06-2015,citrus fruit,Fruits
4475,03-04-2015,other vegetables,Vegetables
2761,25-04-2015,citrus fruit,Fruits
2620,14-12-2015,sausage,Meat
3206,13-10-2015,frankfurter,Meat
1226,13-04-2015,hard cheese,Dairy
1395,07-03-2015,cream cheese ,Dairy
2465,07-06-2015,turkey,Meat
3572,09-07-2015,pork,Meat
4387,08-05-2015,whole milk,Dairy
1555,27-03-2015,rolls/buns,Bakery
1181,16-11-2015,sausage,Meat
2814,11-05-2015,ice cream,Dairy
2794,16-09-2015,liquor,Beverages
2912,28-01-2015,pip fruit,Fruits
4667,12-01-2015,root vegetables,Vegetables
2235,25-10-2015,soda,Beverages
2353,02-05-2015,soda,Beverages
3449,08-03-2015,sausage,Meat
1058,10-11-2015,root vegetables,Vegetables
1027,17-05-2015,pork,Meat
3302,22-05-2015,pork,Meat
2229,30-05-2015,chocolate,Dairy
2188,15-08-2015,fruit/vegetable juice,Fruits
1547,18-04-2015,pickled vegetables,Vegetables
1649,30-06-2015,bottled water,Beverages
3254,10-09-2015,frankfurter,Meat
2818,07-11-2015,tropical fruit,Fruits
2703,08-05-2015,canned beer,Canned Goods
3332,31-01-2015,root vegetables,Vegetables
2473,01-07-2015,meat,Meat
2810,30-12-2015,frankfurter,Meat
1033,22-04-2015,tropical fruit,Fruits
4222,27-05-2015,tropical fruit,Fruits
