Date,category,Member_number
04/04/2025,Personal Care,M0026
23/04/2025,Meat,M0213
07/03/2025,Dairy,M0204
07/03/2025,Meat,M0177
21/02/2025,Snacks,M0074
11/04/2025,Snacks,M0010
14/04/2025,Snacks,M0176
26/03/2025,Meat,M0182
15/01/2025,Dairy,M0083
06/04/2025,Meat,M0031
25/04/2025,Canned Goods,M0018
07/03/2025,Dairy,M0007
17/03/2025,Beverages,M0270
16/02/2025,Household,M0089
19/04/2025,Beverages,M0047
31/01/2025,Household,M0208
16/02/2025,Beverages,M0179
07/04/2025,Produce,M0106
21/03/2025,Bakery,M0050
06/02/2025,Bakery,M0133
06/02/2025,Frozen,M0298
13/01/2025,Beverages,M0248
06/01/2025,Personal Care,M0145
04/01/2025,Personal Care,M0244
12/04/2025,Meat,M0218
11/04/2025,Dairy,M0057
20/01/2025,Canned Goods,M0266
30/04/2025,Produce,M0011
21/02/2025,Produce,M0222
20/03/2025,Dairy,M0262
12/03/2025,Bakery,M0158
13/03/2025,Produce,M0107
30/03/2025,Canned Goods,M0077
05/01/2025,Produce,M0193
28/03/2025,Snacks,M0117
29/01/2025,Snacks,M0006
03/04/2025,Canned Goods,M0057
27/02/2025,Produce,M0040
03/03/2025,Snacks,M0299
29/04/2025,Produce,M0065
02/02/2025,Dairy,M0105
07/01/2025,Bakery,M0057
02/01/2025,Frozen,M0109
31/01/2025,Produce,M0206
07/04/2025,Household,M0226
11/02/2025,Frozen,M0010
01/01/2025,Canned Goods,M0241
27/02/2025,Household,M0063
29/03/2025,Produce,M0227
24/02/2025,Bakery,M0171
09/04/2025,Meat,M0252
26/04/2025,Dairy,M0122
13/01/2025,Bakery,M0281
20/01/2025,Canned Goods,M0001
11/02/2025,Bakery,M0120
03/04/2025,Produce,M0287
25/01/2025,Snacks,M0158
15/03/2025,Produce,M0097
10/03/2025,Bakery,M0090
28/01/2025,Beverages,M0121
30/04/2025,Produce,M0181
23/01/2025,Bakery,M0238
17/02/2025,Beverages,M0060
20/03/2025,Produce,M0242
22/01/2025,Canned Goods,M0023
19/01/2025,Meat,M0262
26/04/2025,Personal Care,M0090
10/04/2025,Produce,M0163
21/02/2025,Household,M0191
18/03/2025,Snacks,M0073
18/02/2025,Frozen,M0175
02/01/2025,Produce,M0165
