Date,category,Member_number
01/01/2024,Dairy,M0175
01/01/2024,Beverages,M0446
01/01/2024,Produce,M0051
01/01/2024,Produce,M0364
01/01/2024,Produce,M0055
01/01/2024,Household,M0244
01/01/2024,Beverages,M0320
01/01/2024,Canned Goods,M0131
01/01/2024,Produce,M0485
01/01/2024,Frozen,M0307
01/01/2024,Meat,M0135
01/01/2024,Produce,M0021
01/01/2024,Produce,M0329
01/01/2024,Produce,M0167
01/01/2024,Bakery,M0274
01/01/2024,Beverages,M0388
01/01/2024,Snacks,M0089
01/01/2024,Bakery,M0316
01/01/2024,Beverages,M0014
01/01/2024,Produce,M0242
01/01/2024,Bakery,M0265
01/01/2024,Snacks,M0346
01/01/2024,Snacks,M0053
02/01/2024,Canned Goods,M0237
02/01/2024,Beverages,M0338
02/01/2024,Meat,M0367
02/01/2024,Produce,M0053
02/01/2024,Snacks,M0280
02/01/2024,Produce,M0410
02/01/2024,Dairy,M0217
02/01/2024,Snacks,M0252
02/01/2024,Produce,M0188
02/01/2024,Beverages,M0380
02/01/2024,Produce,M0493
02/01/2024,Meat,M0041
02/01/2024,Snacks,M0157
02/01/2024,Snacks,M0015
02/01/2024,Frozen,M0301
02/01/2024,Dairy,M0065
02/01/2024,Bakery,M0345
02/01/2024,Beverages,M0327
02/01/2024,Beverages,M0009
02/01/2024,Frozen,M0344
02/01/2024,Meat,M0129
03/01/2024,Meat,M0218
03/01/2024,Canned Goods,M0255
03/01/2024,Dairy,M0398
03/01/2024,Dairy,M0359
03/01/2024,Produce,M0283
03/01/2024,Bakery,M0393
03/01/2024,Produce,M0207
03/01/2024,Household,M0015
03/01/2024,Canned Goods,M0346
03/01/2024,Bakery,M0042
03/01/2024,Produce,M0380
03/01/2024,Bakery,M0461
03/01/2024,Bakery,M0179
03/01/2024,Dairy,M0063
03/01/2024,Canned Goods,M0352
03/01/2024,Household,M0231
03/01/2024,Snacks,M0241
03/01/2024,Produce,M0052
03/01/2024,Dairy,M0096
03/01/2024,Dairy,M0388
04/01/2024,Snacks,M0052
04/01/2024,Dairy,M0268
04/01/2024,Bakery,M0295
04/01/2024,Produce,M0386
04/01/2024,Bakery,M0387
04/01/2024,Produce,M0113
04/01/2024,Frozen,M0101
04/01/2024,Meat,M0113
04/01/2024,Canned Goods,M0440
04/01/2024,Household,M0081
04/01/2024,Meat,M0187
04/01/2024,Produce,M0113
04/01/2024,Household,M0002
04/01/2024,Beverages,M0130
04/01/2024,Meat,M0220
04/01/2024,Household,M0054
04/01/2024,Bakery,M0343
04/01/2024,Produce,M0485
04/01/2024,Bakery,M0224
04/01/2024,Snacks,M0225
04/01/2024,Meat,M0385
04/01/2024,Household,M0403
04/01/2024,Produce,M0126
04/01/2024,Snacks,M0130
04/01/2024,Snacks,M0053
04/01/2024,Bakery,M0172
04/01/2024,Produce,M0218
04/01/2024,Bakery,M0160
04/01/2024,Frozen,M0198
04/01/2024,Bakery,M0416
04/01/2024,Snacks,M0247
04/01/2024,Canned Goods,M0324
04/01/2024,Snacks,M0439
04/01/2024,Personal Care,M0203
05/01/2024,Meat,M0369
05/01/2024,Snacks,M0002
05/01/2024,Personal Care,M0385
05/01/2024,Snacks,M0304
05/01/2024,Meat,M0254
05/01/2024,Meat,M0140
05/01/2024,Produce,M0453
05/01/2024,Snacks,M0037
05/01/2024,Canned Goods,M0160
05/01/2024,Meat,M0009
05/01/2024,Bakery,M0233
05/01/2024,Bakery,M0099
05/01/2024,Dairy,M0147
05/01/2024,Meat,M0304
05/01/2024,Bakery,M0208
05/01/2024,Produce,M0131
05/01/2024,Frozen,M0404
05/01/2024,Snacks,M0152
05/01/2024,Snacks,M0054
05/01/2024,Meat,M0120
05/01/2024,Canned Goods,M0161
05/01/2024,Dairy,M0408
05/01/2024,Produce,M0116
05/01/2024,Beverages,M0075
05/01/2024,Canned Goods,M0113
05/01/2024,Bakery,M0456
05/01/2024,Produce,M0420
05/01/2024,Personal Care,M0422
05/01/2024,Snacks,M0104
06/01/2024,Produce,M0017
06/01/2024,Canned Goods,M0172
06/01/2024,Produce,M0220
06/01/2024,Produce,M0158
06/01/2024,Beverages,M0477
06/01/2024,Canned Goods,M0046
06/01/2024,Canned Goods,M0373
06/01/2024,Bakery,M0006
06/01/2024,Dairy,M0099
06/01/2024,Bakery,M0380
06/01/2024,Bakery,M0233
06/01/2024,Dairy,M0037
06/01/2024,Canned Goods,M0280
06/01/2024,Meat,M0349
06/01/2024,Canned Goods,M0497
06/01/2024,Beverages,M0302
06/01/2024,Produce,M0181
06/01/2024,Snacks,M0095
06/01/2024,Bakery,M0099
06/01/2024,Bakery,M0188
06/01/2024,Personal Care,M0481
